HOIST ID,HOIST TYPE,TOTAL LOAD ,TRIM,DEC X,X,DEC Y,Y,,CONTROL CABLE,
5-3,1 Ton,1097 lbs,"32'0""",-61.616,"-61'7""",10.110,"10'1""",Truss Sling 24x14in,25,1
1-2,1 Ton,846 lbs,"28'6""",-109.554,"-109'7""",10.108,"10'1""",Truss Sling 20.5x20.5in,25,1
28-2,1 Ton,1172 lbs,"24'0""",130.167,"130'2""",10.046,"10'1""",Truss Sling 24x14in,25,1
DH-6,DH,58 lbs,"31'8""",-76.412,"-76'5""",10.041,"10'0""",Truss Sling 12x12in,-,1
2-3,1/2 Ton DR,382 lbs,"32'5""",-95.885,"-95'11""",10.020,"10'0""",Truss Sling 12x12in,50,1
1-9,1 Ton,1156 lbs,"28'6""",-98.404,"-98'5""",9.790,"9'9""",Truss Sling 20.5x20.5in,50,1
18-1,1/2 Ton,260 lbs,"26'0""",80.261,"80'3""",4.854,"4'10""",Truss Sling 20.5x20.5in,50,1
18-2,1/2 Ton,494 lbs,"26'0""",99.865,"99'10""",4.836,"4'10""",Truss Sling 20.5x20.5in,75,1
10-1,1 Ton,478 lbs,"28'0""",-28.140,"-28'2""",0.163,"2""",Truss Sling 12x12in,50,1
DH-4,DH,383 lbs,"32'0""",-118.279,"-118'3""",0.043,"1""",Truss Sling 12x12in,-,1
8-4,1 Ton,1193 lbs,"32'11""",-29.984,"-30'0""",-0.014,"0""",Truss Sling 24x14in,50,1
1-8,1 Ton,1243 lbs,"28'6""",-104.173,"-104'2""",-0.018,"0""",Truss Sling 20.5x20.5in,50,1
7-4,1 Ton,1119 lbs,"32'0""",-46.537,"-46'6""",-0.028,"0""",Truss Sling 24x14in,25,1
30-3,1/2 Ton,358 lbs,"29'0""",139.841,"139'10""",-240.049,"-240'1""",Truss Sling 12x12in,75,1
30-1,1/2 Ton,342 lbs,"29'0""",69.841,"69'10""",-239.985,"-240'0""",Truss Sling 12x12in,50,1
30-2,1/2 Ton,700 lbs,"29'0""",99.846,"99'10""",-240.013,"-240'0""",Truss Sling 12x12in,25,1
3-15,1 Ton,535 lbs,"30'0""",60.175,"60'2""",-237.647,"-237'8""",Truss Sling 20.5x20.5in,100,1
24-4,1/2 Ton,183 lbs,"30'0""",69.674,"69'8""",-232.447,"-232'5""",Truss Sling 20.5x20.5in,50,1
3-14,1/2 Ton,220 lbs,"30'0""",60.444,"60'5""",-232.081,"-232'1""",Truss Sling 20.5x20.5in,100,1
29-1,1/2 Ton,412 lbs,"28'4""",139.841,"139'10""",-232.033,"-232'0""",Truss Sling 20.5x20.5in,75,1
AUD-21,1/2 Ton,348 lbs,"0""",99.927,"99'11""",-231.770,"-231'9""",,50,1
25-3,1/2 Ton,425 lbs,"30'0""",109.880,"109'11""",-221.994,"-222'0""",Truss Sling 20.5x20.5in,125,1
29-2,1/2 Ton,237 lbs,"28'4""",129.946,"129'11""",-222.022,"-222'0""",Truss Sling 20.5x20.5in,75,1
24-3,1/2 Ton,624 lbs,"30'0""",59.852,"59'10""",-221.688,"-221'8""",Truss Sling 20.5x20.5in,50,1
3-13,1 Ton,957 lbs,"30'0""",40.182,"40'2""",-213.438,"-213'5""",Truss Sling 20.5x20.5in,50,1
25-2,1 Ton,913 lbs,"30'0""",89.888,"89'11""",-202.001,"-202'0""",Truss Sling 20.5x20.5in,100,1
29-3,1 Ton,1052 lbs,"28'4""",139.841,"139'10""",-202.026,"-202'0""",Truss Sling 20.5x20.5in,50,1
24-2,1 Ton,881 lbs,"30'0""",40.416,"40'5""",-200.400,"-200'5""",Truss Sling 20.5x20.5in,25,1
3-12,1 Ton,870 lbs,"30'0""",20.070,"20'1""",-189.086,"-189'1""",Truss Sling 20.5x20.5in,25,1
25-1,1/2 Ton,536 lbs,"30'0""",69.939,"69'11""",-182.052,"-182'1""",Truss Sling 20.5x20.5in,50,1
24-1,1/2 Ton,389 lbs,"30'0""",22.286,"22'3""",-180.540,"-180'6""",Truss Sling 20.5x20.5in,50,1
29-4,1/2 Ton,268 lbs,"28'4""",130.647,"130'8""",-170.201,"-170'2""",Truss Sling 20.5x20.5in,25,1
3-11,1 Ton,396 lbs,"30'0""",22.405,"22'5""",-170.067,"-170'1""",Truss Sling 20.5x20.5in,50,1
29-5,1 Ton,824 lbs,"28'4""",139.842,"139'10""",-170.099,"-170'1""",Truss Sling 20.5x20.5in,25,1
19-5,1/2 Ton,301 lbs,"30'0""",51.299,"51'4""",-160.108,"-160'1""",Truss Sling 24x14in,100,1
3-10,1 Ton,870 lbs,"30'0""",-3.985,"-4'0""",-159.958,"-159'11""",Truss Sling 20.5x20.5in,50,1
31-1,1/2 Ton,605 lbs,"24'0""",131.898,"131'11""",-150.152,"-150'2""",Truss Sling 20.5x20.5in,50,1
AUD-18,1/2 Ton,536 lbs,"0""",58.832,"58'10""",-149.805,"-149'10""",,50,1
12-3,1/2 Ton,345 lbs,"30'0""",11.047,"11'1""",-149.768,"-149'9""",Truss Sling 24x14in,100,1
26-2,1/2 Ton,211 lbs,"26'0""",75.028,"75'0""",-149.605,"-149'7""",Truss Sling 20.5x20.5in,50,1
19-4,1 Ton,942 lbs,"30'0""",31.334,"31'4""",-140.143,"-140'2""",Truss Sling 24x14in,75,1
29-6,1 Ton,791 lbs,"28'4""",139.842,"139'10""",-140.002,"-140'0""",Truss Sling 20.5x20.5in,50,1
3-9,1 Ton,620 lbs,"30'0""",-20.519,"-20'6""",-139.937,"-139'11""",Truss Sling 20.5x20.5in,75,1
26-1,1/2 Ton,608 lbs,"26'0""",60.185,"60'2""",-139.726,"-139'9""",Truss Sling 20.5x20.5in,75,1
31-2,1/2 Ton,741 lbs,"24'0""",119.864,"119'10""",-132.961,"-133'0""",Truss Sling 20.5x20.5in,50,1
27-2,1/2 Ton,519 lbs,"28'0""",100.094,"100'1""",-130.510,"-130'6""",Truss Sling 20.5x20.5in,75,1
31-3,1/2 Ton,623 lbs,"24'0""",118.549,"118'7""",-129.981,"-130'0""",Truss Sling 20.5x20.5in,25,1
LED1-1,1/2 Ton INVERT,187 lbs,"0""",147.074,"147'1""",-129.883,"-129'11""",Truss Sling 20.5x20.5in,50,1
12-2,1 Ton,924 lbs,"30'0""",-8.460,"-8'6""",-129.915,"-129'11""",Truss Sling 24x14in,75,1
AUD-15,1/2 Ton,796 lbs,"0""",1.582,"1'7""",-129.714,"-129'9""",,50,1
LED1-2,1/2 Ton INVERT,187 lbs,"0""",147.072,"147'1""",-126.602,"-126'7""",Truss Sling 20.5x20.5in,50,1
LED1-3,1/2 Ton INVERT,187 lbs,"0""",147.069,"147'1""",-123.321,"-123'4""",Truss Sling 20.5x20.5in,50,1
13-4,1/2 Ton,512 lbs,"28'0""",50.286,"50'3""",-120.079,"-120'1""",Truss Sling 12x12in,50,1
19-3,1/2 Ton,361 lbs,"30'0""",11.205,"11'2""",-120.014,"-120'0""",Truss Sling 24x14in,50,1
19-1,1/2 Ton,464 lbs,"27'0""",7.519,"7'6""",-120.023,"-120'0""",Truss Sling 12x12in,50,1
3-8,1 Ton,435 lbs,"30'0""",-37.022,"-37'0""",-119.955,"-119'11""",Truss Sling 20.5x20.5in,75,1
LED1-4,1/2 Ton INVERT,187 lbs,"0""",147.103,"147'1""",-118.400,"-118'5""",Truss Sling 20.5x20.5in,50,1
LED1-5,1/2 Ton INVERT,187 lbs,"0""",147.099,"147'1""",-115.237,"-115'3""",Truss Sling 20.5x20.5in,50,1
LED1-6,1/2 Ton INVERT,187 lbs,"0""",147.081,"147'1""",-111.850,"-111'10""",Truss Sling 20.5x20.5in,50,1
31-4,1/2 Ton,608 lbs,"24'0""",118.549,"118'7""",-111.396,"-111'5""",Truss Sling 20.5x20.5in,25,1
27-1,1/2 Ton,516 lbs,"28'0""",100.094,"100'1""",-111.125,"-111'1""",Truss Sling 20.5x20.5in,50,1
29-7,1 Ton,634 lbs,"28'4""",139.842,"139'10""",-110.157,"-110'2""",Truss Sling 20.5x20.5in,75,1
12-6,1/2 Ton,189 lbs,"30'0""",1.915,"1'11""",-109.934,"-109'11""",Truss Sling 24x14in,100,1
12-1,1/2 Ton,398 lbs,"30'0""",-28.077,"-28'1""",-109.950,"-109'11""",Truss Sling 24x14in,50,1
31-5,1/2 Ton,788 lbs,"24'0""",120.134,"120'2""",-108.330,"-108'4""",Truss Sling 20.5x20.5in,25,1
20-3,1/2 Ton,400 lbs,"30'0""",89.763,"89'9""",-105.508,"-105'6""",Truss Sling 24x14in,125,1
13-3,1 Ton,1188 lbs,"28'0""",33.710,"33'9""",-100.096,"-100'1""",Truss Sling 12x12in,25,1
29-8,1/2 Ton,304 lbs,"28'4""",130.648,"130'8""",-100.107,"-100'1""",Truss Sling 20.5x20.5in,100,1
19-2,1/2 Ton,473 lbs,"27'0""",20.957,"20'11""",-100.016,"-100'0""",Truss Sling 12x12in,75,1
3-7,1 Ton,282 lbs,"30'0""",-36.896,"-36'11""",-100.020,"-100'0""",Truss Sling 20.5x20.5in,75,1
3-6,1 Ton,923 lbs,"30'0""",-53.564,"-53'7""",-99.924,"-99'11""",Truss Sling 20.5x20.5in,50,1
12-5,1/2 Ton,718 lbs,"30'0""",-8.260,"-8'3""",-99.760,"-99'9""",Truss Sling 24x14in,75,1
31-6,1/2 Ton,558 lbs,"24'0""",132.902,"132'11""",-90.227,"-90'3""",Truss Sling 20.5x20.5in,50,1
AUD-19,1/2 Ton,348 lbs,"0""",76.769,"76'9""",-90.092,"-90'1""",Truss Sling 12x12in,50,1
AUD-16,1/2 Ton,796 lbs,"0""",31.626,"31'8""",-89.876,"-89'11""",,50,1
20-2,1 Ton,1051 lbs,"30'0""",60.113,"60'1""",-86.893,"-86'11""",Truss Sling 24x14in,75,1
29-9,1 Ton,1083 lbs,"28'4""",139.842,"139'10""",-80.157,"-80'2""",Truss Sling 20.5x20.5in,75,1
11-1,1 Ton,598 lbs,"32'0""",-34.644,"-34'8""",-79.907,"-79'11""",Truss Sling 24x14in,50,1
12-4,1/2 Ton,363 lbs,"30'0""",-28.083,"-28'1""",-79.936,"-79'11""",Truss Sling 24x14in,50,1
21-2,1/2 Ton,470 lbs,"26'0""",93.468,"93'6""",-79.940,"-79'11""",Truss Sling 12x12in,75,1
9-2,1/2 Ton,410 lbs,"30'0""",-58.242,"-58'3""",-79.821,"-79'10""",Truss Sling 24x14in,75,1
3-5,1 Ton,401 lbs,"30'0""",-66.983,"-67'0""",-79.770,"-79'9""",Truss Sling 20.5x20.5in,25,1
9-4,1/2 Ton,337 lbs,"30'0""",-37.981,"-38'0""",-70.567,"-70'7""",Truss Sling 24x14in,75,1
AUD-17,1/2 Ton,348 lbs,"0""",61.375,"61'4""",-70.339,"-70'4""",Truss Sling 12x12in,50,1
20-1,1/2 Ton,686 lbs,"30'0""",33.406,"33'5""",-70.126,"-70'2""",Truss Sling 24x14in,50,1
21-1,1/2 Ton,284 lbs,"26'0""",76.736,"76'9""",-70.098,"-70'1""",Truss Sling 12x12in,50,1
AUD-14,1/2 Ton,348 lbs,"0""",39.554,"39'7""",-70.105,"-70'1""",Truss Sling 12x12in,50,1
3-4,1 Ton,823 lbs,"30'0""",-78.307,"-78'4""",-69.964,"-70'0""",Truss Sling 20.5x20.5in,25,1
13-2,1/2 Ton,1053 lbs,"28'0""",8.701,"8'8""",-69.946,"-69'11""",Truss Sling 12x12in,50,1
AUD-20,1/2 Ton,348 lbs,"0""",102.161,"102'2""",-60.209,"-60'3""",Truss Sling 12x12in,50,1
